"X","Y","DateTime","ID","dry_recurse$revisits","revisits"
1119048.31670377,-2099279.14314723,2013-06-01 18:40:00,"MET.K1",47,47
1119064.76792429,-2099580.0197482,2013-06-02 14:39:00,"MET.K1",52,52
1110775.25741378,-2094683.68446546,2013-06-03 22:40:00,"MET.K1",50,50
1110475.10801811,-2094957.45144103,2013-06-04 02:39:00,"MET.K1",40,40
1110676.15215694,-2094541.41646661,2013-06-04 14:40:00,"MET.K1",50,50
1119065.54483822,-2099556.68669593,2013-06-05 18:39:00,"MET.K1",52,52
1118611.7534626,-2099353.60036454,2013-06-06 14:39:00,"MET.K1",39,39
1118949.9105921,-2099150.17445611,2013-06-08 18:53:00,"MET.K1",43,43
1110687.85982078,-2094539.57572897,2013-06-09 06:53:00,"MET.K1",51,51
1110585.81737796,-2094163.65856822,2013-06-09 10:53:00,"MET.K1",42,42
1110634.99223971,-2094278.70977566,2013-06-09 14:54:00,"MET.K1",45,45
1107434.02348551,-2075828.02774598,2013-06-10 02:53:00,"MET.K1",24,24
1107565.01975342,-2075906.76549018,2013-06-12 18:53:00,"MET.K1",23,23
1101747.06978043,-2108373.53430803,2013-06-17 20:03:00,"MET.K1",48,48
1100711.20668752,-2108868.08156326,2013-06-18 00:03:00,"MET.K1",26,26
1102024.87933669,-2116659.4335015,2013-06-20 20:34:00,"MET.K1",33,33
1102058.49988288,-2116666.0921031,2013-06-25 00:34:00,"MET.K1",33,33
1102055.10936524,-2116640.40439306,2013-06-27 20:28:00,"MET.K1",33,33
1101231.60211629,-2109260.84622421,2013-06-30 00:28:00,"MET.K1",22,22
1102048.04563338,-2116662.41442887,2013-07-02 20:22:00,"MET.K1",33,33
1100941.39027178,-2108751.01213886,2013-07-03 16:23:00,"MET.K1",28,28
1101712.59429328,-2108490.28749483,2013-07-03 20:23:00,"MET.K1",46,46
1101720.2807037,-2108481.64126817,2013-07-08 20:33:00,"MET.K1",46,46
1100796.07156062,-2108535.01198685,2013-07-09 00:32:00,"MET.K1",27,27
1099257.98454383,-2108468.4571705,2013-07-09 08:32:00,"MET.K1",23,23
1101668.78617432,-2108340.96440087,2013-07-09 20:32:00,"MET.K1",49,49
1102262.91810653,-2105783.72039182,2013-07-10 20:32:00,"MET.K1",47,47
1101408.4530474,-2108571.58549513,2013-07-16 00:32:00,"MET.K1",52,52
1100788.06758512,-2109237.53890726,2013-07-16 04:32:00,"MET.K1",26,26
1099568.6175906,-2108447.38408649,2013-07-16 20:32:00,"MET.K1",22,22
1101748.38980272,-2108658.25472671,2013-07-17 00:33:00,"MET.K1",47,47
1100988.32701031,-2109455.32605038,2013-07-17 04:32:00,"MET.K1",21,21
1100689.70043161,-2108846.25523067,2013-07-23 22:08:00,"MET.K1",28,28
1100387.43289938,-2109033.26720164,2013-07-24 22:08:00,"MET.K1",21,21
1098758.13392745,-2108583.48846414,2013-07-28 10:08:00,"MET.K1",21,21
1100413.71357913,-2108745.00079095,2013-07-28 18:08:00,"MET.K1",24,24
1100927.03925314,-2109225.37307723,2013-07-28 22:08:00,"MET.K1",27,27
1101728.44594359,-2108490.80294962,2013-07-30 14:43:00,"MET.K1",46,46
1101043.6062935,-2108535.26666929,2013-07-31 23:07:00,"MET.K1",24,24
1100771.63820297,-2109026.83643647,2013-08-01 23:06:00,"MET.K1",27,27
1100314.65175173,-2108994.20938248,2013-08-02 03:06:00,"MET.K1",23,23
1101383.99612634,-2108673.09598691,2013-08-02 19:06:00,"MET.K1",50,50
1101112.8354503,-2109334.82699891,2013-08-03 07:06:00,"MET.K1",24,24
1101722.21364885,-2108487.26422702,2013-08-04 19:06:00,"MET.K1",46,46
1101673.01469451,-2108471.20820755,2013-08-07 11:24:00,"MET.K1",47,47
1102033.03950503,-2116668.59641489,2013-08-09 03:23:00,"MET.K1",33,33
1102033.18080788,-2116631.90369996,2013-08-12 23:24:00,"MET.K1",33,33
1102157.65537904,-2116738.27857198,2013-08-15 00:54:00,"MET.K1",33,33
1102063.85403406,-2116664.0429498,2013-08-15 01:23:00,"MET.K1",33,33
1102043.09069847,-2116652.24418299,2013-08-15 01:54:00,"MET.K1",33,33
1100853.01695462,-2109061.72758882,2013-08-16 18:10:00,"MET.K1",27,27
1101723.27042576,-2108487.29859075,2013-08-16 18:40:00,"MET.K1",46,46
1101727.31692222,-2108492.99027838,2013-08-16 19:09:00,"MET.K1",46,46
1101725.13112454,-2108495.14324312,2013-08-16 19:40:00,"MET.K1",46,46
1101013.42969596,-2108747.79206994,2013-08-16 20:09:00,"MET.K1",28,28
1100833.95835324,-2108834.25947446,2013-08-16 20:40:00,"MET.K1",29,29
1100782.18861154,-2108864.82642285,2013-08-16 21:10:00,"MET.K1",27,27
1100565.27315949,-2109094.63986014,2013-08-16 21:40:00,"MET.K1",23,23
1100543.66987246,-2109108.39451798,2013-08-16 22:09:00,"MET.K1",22,22
1100415.32396211,-2109184.29214436,2013-08-16 22:40:00,"MET.K1",23,23
1100352.33994661,-2109234.51172392,2013-08-16 23:09:00,"MET.K1",22,22
1101748.52470537,-2108491.45587874,2013-08-17 21:09:00,"MET.K1",46,46
1101717.11037219,-2108481.53817795,2013-08-17 21:39:00,"MET.K1",46,46
1100394.21184843,-2109248.10275157,2013-08-19 15:09:00,"MET.K1",22,22
1100773.26306847,-2109204.80993022,2013-08-19 15:40:00,"MET.K1",26,26
1100758.93797827,-2109189.88862292,2013-08-19 16:10:00,"MET.K1",26,26
1101049.49257012,-2108940.22913623,2013-08-19 16:39:00,"MET.K1",30,30
1101720.71416253,-2108468.3111124,2013-08-19 17:10:00,"MET.K1",47,47
1101744.33372048,-2108490.20757148,2013-08-19 17:39:00,"MET.K1",46,46
1101730.59561968,-2108489.76083149,2013-08-19 18:10:00,"MET.K1",46,46
1101721.92467308,-2108496.15099778,2013-08-19 18:40:00,"MET.K1",46,46
1101862.45787461,-2108566.33072679,2013-08-19 19:09:00,"MET.K1",47,47
1102035.95461523,-2108858.87774195,2013-08-19 19:40:00,"MET.K1",42,42
1101727.2085552,-2108496.32281765,2013-08-22 19:40:00,"MET.K1",46,46
1100999.78656732,-2109395.64992402,2013-08-23 23:40:00,"MET.K1",21,21
1101512.12668164,-2108213.54988959,2013-08-24 11:40:00,"MET.K1",48,48
1101718.16714935,-2108481.57254129,2013-08-25 19:40:00,"MET.K1",46,46
1102141.53468418,-2105839.82494234,2013-08-25 23:37:00,"MET.K1",49,49
1099144.63725757,-2108244.61606639,2013-08-26 15:36:00,"MET.K1",21,21
1098935.17766778,-2108310.11402079,2013-08-26 19:36:00,"MET.K1",21,21
1100948.77993568,-2108393.18594908,2013-08-27 19:35:00,"MET.K1",21,21
1101324.96050618,-2109024.79780935,2013-08-29 01:21:00,"MET.K1",26,26
1101014.36022809,-2109272.6904462,2013-08-29 05:21:00,"MET.K1",22,22
1100994.95225342,-2109316.54020006,2013-08-29 09:21:00,"MET.K1",24,24
1098767.2276945,-2108465.91426384,2013-08-30 01:22:00,"MET.K1",21,21
1102046.44109949,-2116646.7934392,2013-08-31 21:21:00,"MET.K1",33,33
1108825.33398473,-2105301.97178454,2014-06-06 19:04:00,"MET.K1",31,31
1108737.62403563,-2105588.24899176,2014-06-06 20:04:00,"MET.K1",28,28
1102268.13059785,-2105786.11385977,2014-06-07 22:05:00,"MET.K1",47,47
1100512.77294832,-2109440.99149683,2014-07-11 20:51:00,"MET.K1",23,23
