"x"
"-18.89298 20.86977"
"-18.89568 20.87002"
"-18.85412 20.7902"
"-18.85667 20.78745"
"-18.85287 20.78922"
"-18.89547 20.87002"
"-18.89378 20.86567"
"-18.89185 20.8688"
"-18.85285 20.78933"
"-18.8495 20.78825"
"-18.85052 20.78875"
"-18.68555 20.75287"
"-18.68622 20.75413"
"-18.97987 20.70912"
"-18.98462 20.69948"
"-19.0543 20.7143"
"-19.05435 20.71462"
"-19.05412 20.71458"
"-18.988 20.70452"
"-19.05432 20.71452"
"-18.9835 20.70162"
"-18.98093 20.70883"
"-18.98085 20.7089"
"-18.9816 20.70018"
"-18.98145 20.68562"
"-18.9796 20.70837"
"-18.95643 20.7132"
"-18.98175 20.7059800000001"
"-18.98792 20.70032"
"-18.98117 20.68855"
"-18.98243 20.70922"
"-18.98982 20.70228"
"-18.98443 20.69927"
"-18.9862 20.69647"
"-18.98263 20.68093"
"-18.9836 20.69663"
"-18.98777 20.70163"
"-18.98093 20.70898"
"-18.98153 20.70252"
"-18.98603 20.7001"
"-18.98587 20.69577"
"-18.9826700000001 20.70578"
"-18.9887 20.70342"
"-18.9809 20.70892"
"-18.98077 20.70845"
"-19.05438 20.71438"
"-19.05405 20.7143699999999"
"-19.05497 20.71558"
"-19.05433 20.71467"
"-19.05423 20.71447"
"-18.98632 20.70088"
"-18.9809 20.70893"
"-18.98095 20.70897"
"-18.98097 20.70895"
"-18.98345 20.7023"
"-18.98428 20.70063"
"-18.98457 20.70015"
"-18.9867 20.69817"
"-18.98683 20.69797"
"-18.98755 20.69678"
"-18.98802 20.6962"
"-18.98093 20.70917"
"-18.98085 20.70887"
"-18.98813 20.6966"
"-18.98763 20.70017"
"-18.9875 20.70003"
"-18.98517 20.7027"
"-18.98073 20.7089"
"-18.98092 20.70913"
"-18.98092 20.709"
"-18.98098 20.70892"
"-18.98157 20.71027"
"-18.98415 20.712"
"-18.98098 20.70897"
"-18.98928 20.70237"
"-18.9785 20.70685"
"-18.98085 20.70888"
"-18.95697 20.71207"
"-18.97947 20.68448"
"-18.98012 20.68252"
"-18.98028 20.70158"
"-18.98585 20.70533"
"-18.98817 20.70247"
"-18.98857 20.7023"
"-18.98157 20.68098"
"-19.05418 20.7145"
"-18.95017 20.77507"
"-18.95277 20.77433"
"-18.95645 20.71325"
"-18.98983 20.69778"
"-18.98552 20.70072"
"-18.98073 20.71002"
"-18.94772 20.77655"
"-18.95352 20.77323"
"-18.95262 20.77502"
"-18.95015 20.77507"
"-18.9513 20.77433"
"-18.95037 20.7765"
"-18.95013 20.77503"
"-18.9494 20.77253"
"-18.94957 20.77492"
"-18.94955 20.77935"
"-18.95008 20.775"
"-18.95248 20.77333"
"-18.95337 20.7723"
"-18.95118 20.77127"
"-18.95002 20.7749"
"-18.95507 20.71405"
"-18.95613 20.71327"
"-18.95425 20.71015"
"-19.05438 20.7144"
"-18.98108 20.70522"
"-18.98505 20.69877"
"-18.98617 20.69773"
"-18.98087 20.70902"
"-18.98465 20.7021"
"-18.98808 20.69692"
"-18.98625 20.70165"
"-18.98107 20.70957"
"-18.98453 20.70538"
"-18.98725 20.70185"
"-18.99017 20.69913"
"-19.0191 20.6907"
"-19.05413 20.71458"
"-19.05452 20.71415"
"-19.05423 20.71443"
"-18.98455 20.70302"
"-18.98092 20.70898"
"-18.98093 20.70905"
"-18.98102 20.70918"
"-18.98438 20.71082"
"-18.98492 20.71025"
"-18.98097 20.70893"
"-18.9846 20.71068"
"-18.98083 20.709"
"-18.98285 20.71135"
"-18.98357 20.71175"
"-18.9807 20.70908"
"-18.98542 20.7052"
"-18.98755 20.70362"
"-18.9809 20.70915"
"-18.98223 20.7075"
"-18.98252 20.71087"
"-18.9809 20.70922"
"-18.98 20.68407"
"-18.98162 20.68435"
"-18.98227 20.68637"
"-18.98135 20.6883"
"-18.98168 20.68032"
"-18.98105 20.68555"
"-18.9835 20.70247"
"-18.97933 20.68155"
"-18.98283 20.68462"
"-18.98433 20.69472"
"-18.98138 20.70302"
"-18.98095 20.70918"
"-18.98082 20.709"
"-18.98275 20.70542"
"-18.98547 20.69978"
"-18.97987 20.681"
"-18.97945 20.68172"
"-18.97885 20.6867"
"-18.98602 20.70038"
"-18.98102 20.7089"
"-19.05427 20.7141799999999"
"-18.98578 20.7005"
"-18.98193 20.70718"
"-19.05443 20.71458"
"-18.98652 20.69695"
"-18.98322 20.70155"
"-18.98115 20.70928"
"-18.9828 20.71192"
"-19.05227 20.71332"
"-19.0231 20.69133"
"-19.02245 20.69097"
"-19.05422 20.71458"
"-19.05587 20.71385"
"-18.98075 20.70887"
"-18.98097 20.70907"
"-18.981 20.70897"
"-18.98372 20.71215"
"-19.05387 20.71418"
"-19.05423 20.71442"
"-19.0545 20.71185"
"-19.0543 20.71452"
"-19.05433 20.71447"
"-19.0544 20.71453"
"-18.9807 20.70907"
"-18.98078 20.70883"
"-18.9778 20.70673"
"-18.95638 20.71265"
"-18.95657 20.7134"
"-19.05122 20.71688"
"-19.0517 20.71693"
"-18.98107 20.70908"
"-18.95652 20.7133"
"-18.95612 20.7135"
"-18.95598 20.71313"
"-18.95572 20.71083"
"-19.05138 20.7131"
"-19.05477 20.71322"
"-19.0567 20.7107"
"-19.0543 20.7144"
"-19.05432 20.71457"
"-19.05432 20.71443"
"-19.05387 20.71457"
"-19.05375 20.71462"
"-19.05418 20.71462"
"-19.05027 20.71252"
"-19.05432 20.71462"
"-19.05413 20.71467"
"-19.05395 20.71405"
"-18.95015 20.77521667"
"-18.90293333 20.83988333"
"-18.9056 20.83696667"
"-18.94998333 20.77418333"
"-18.90321667 20.84016667"
"-18.90448333 20.84128333"
"-18.90243333 20.84445"
"-18.89475 20.8702"
"-18.94998333 20.77473333"
"-18.94658333 20.77676667"
