"X","Y","DateTime","ID"
1117986.71194883,-2106042.29747647,2013-06-01 02:39:00,"MET.K1"
1118294.67875207,-2105788.94932693,2013-06-01 06:39:00,"MET.K1"
1118974.49606425,-2104542.46464379,2013-06-01 10:39:00,"MET.K1"
1118430.79319644,-2103357.49669312,2013-06-01 14:39:00,"MET.K1"
1119048.31670377,-2099279.14314723,2013-06-01 18:40:00,"MET.K1"
1117596.7474511,-2096856.1171655,2013-06-01 22:39:00,"MET.K1"
1116314.04095914,-2096645.65831785,2013-06-02 02:39:00,"MET.K1"
1115660.58792063,-2096265.89278551,2013-06-02 06:39:00,"MET.K1"
1116037.72768337,-2097732.09877334,2013-06-02 10:39:00,"MET.K1"
1119064.76792429,-2099580.0197482,2013-06-02 14:39:00,"MET.K1"
1118030.4932044,-2097601.29556134,2013-06-02 18:39:00,"MET.K1"
1117177.67319349,-2095826.7010008,2013-06-02 22:39:00,"MET.K1"
1116933.85810957,-2095131.23396011,2013-06-03 02:39:00,"MET.K1"
1116259.11418632,-2095521.55918214,2013-06-03 06:39:00,"MET.K1"
1115479.29635913,-2096849.39652679,2013-06-03 10:39:00,"MET.K1"
1115392.23759905,-2096696.36416208,2013-06-03 14:40:00,"MET.K1"
1114539.94243083,-2097079.7426604,2013-06-03 18:40:00,"MET.K1"
1110775.25741378,-2094683.68446546,2013-06-03 22:40:00,"MET.K1"
1110475.10801811,-2094957.45144103,2013-06-04 02:39:00,"MET.K1"
1110180.42609176,-2095549.47610309,2013-06-04 06:40:00,"MET.K1"
1110802.31262918,-2095247.32739605,2013-06-04 10:39:00,"MET.K1"
1110676.15215694,-2094541.41646661,2013-06-04 14:40:00,"MET.K1"
1111032.03072511,-2093472.05126903,2013-06-04 18:39:00,"MET.K1"
1111331.76474694,-2093114.85707052,2013-06-04 22:39:00,"MET.K1"
1111417.29532968,-2093768.28315113,2013-06-05 02:40:00,"MET.K1"
1111748.05431336,-2093982.66111919,2013-06-05 06:39:00,"MET.K1"
1114485.51124637,-2095456.30329565,2013-06-05 10:39:00,"MET.K1"
1115391.83737182,-2096195.83618358,2013-06-05 14:39:00,"MET.K1"
1119065.54483822,-2099556.68669593,2013-06-05 18:39:00,"MET.K1"
1118689.33794091,-2096382.95144082,2013-06-05 22:39:00,"MET.K1"
1118139.19032086,-2096208.95950964,2013-06-06 02:41:00,"MET.K1"
1117121.62544536,-2096495.55321205,2013-06-06 06:39:00,"MET.K1"
1117842.24450765,-2098136.7370094,2013-06-06 10:39:00,"MET.K1"
1118611.7534626,-2099353.60036454,2013-06-06 14:39:00,"MET.K1"
1117715.36029358,-2099279.30798071,2013-06-06 18:39:00,"MET.K1"
1117487.43265797,-2099192.7644668,2013-06-06 22:39:00,"MET.K1"
1116252.46898324,-2099719.05835031,2013-06-07 02:39:00,"MET.K1"
1115760.17696474,-2099719.42995764,2013-06-07 06:39:00,"MET.K1"
1115154.92760412,-2099550.35011957,2013-06-07 10:39:00,"MET.K1"
1115543.44432352,-2099134.98803776,2013-06-07 14:39:00,"MET.K1"
1116972.46345435,-2099716.24442719,2013-06-07 18:39:00,"MET.K1"
1118669.41798668,-2098256.54594447,2013-06-07 22:39:00,"MET.K1"
1117398.76894138,-2097302.25446724,2013-06-08 06:54:00,"MET.K1"
1116379.12242076,-2097238.43034588,2013-06-08 10:55:00,"MET.K1"
1116412.16556763,-2098094.86499962,2013-06-08 14:54:00,"MET.K1"
1118949.9105921,-2099150.17445611,2013-06-08 18:53:00,"MET.K1"
1115127.94503821,-2097933.35241297,2013-06-08 22:53:00,"MET.K1"
1113459.90936038,-2096278.91260205,2013-06-09 02:55:00,"MET.K1"
1110687.85982078,-2094539.57572897,2013-06-09 06:53:00,"MET.K1"
1110585.81737796,-2094163.65856822,2013-06-09 10:53:00,"MET.K1"
1110634.99223971,-2094278.70977566,2013-06-09 14:54:00,"MET.K1"
1110343.66118828,-2089684.87430377,2013-06-09 18:53:00,"MET.K1"
1107857.88338026,-2083948.82539767,2013-06-09 22:54:00,"MET.K1"
1107434.02348551,-2075828.02774598,2013-06-10 02:53:00,"MET.K1"
1106756.16426325,-2076242.08753022,2013-06-10 06:53:00,"MET.K1"
1106092.29148236,-2079838.19143607,2013-06-10 10:53:00,"MET.K1"
1106562.45359554,-2079945.67252429,2013-06-10 14:53:00,"MET.K1"
1107341.01540961,-2076411.08716863,2013-06-10 18:53:00,"MET.K1"
1105749.04980334,-2078390.35301057,2013-06-10 22:53:00,"MET.K1"
1105497.95593299,-2079605.50714533,2013-06-11 02:54:00,"MET.K1"
1105111.12134356,-2080496.01343059,2013-06-11 06:53:00,"MET.K1"
1104440.85424903,-2081667.62402625,2013-06-11 10:53:00,"MET.K1"
1104669.54913077,-2081705.01810018,2013-06-11 14:53:00,"MET.K1"
1104166.07196185,-2081580.93191776,2013-06-11 18:53:00,"MET.K1"
1103861.23288887,-2081736.80864078,2013-06-11 22:55:00,"MET.K1"
1103780.79122548,-2081504.03267935,2013-06-12 02:54:00,"MET.K1"
1103658.68037467,-2081446.72708438,2013-06-12 06:53:00,"MET.K1"
1103820.010849,-2081108.30565287,2013-06-12 10:54:00,"MET.K1"
1105025.74328825,-2079725.95776416,2013-06-12 14:53:00,"MET.K1"
1107565.01975342,-2075906.76549018,2013-06-12 18:53:00,"MET.K1"
1106526.34364701,-2078701.2219648,2013-06-12 22:53:00,"MET.K1"
1104958.55361044,-2081777.72091006,2013-06-13 08:11:00,"MET.K1"
1104712.54920523,-2082375.84730556,2013-06-13 12:12:00,"MET.K1"
1104846.51554651,-2083871.40794435,2013-06-13 20:08:00,"MET.K1"
1104590.43522229,-2084256.80440752,2013-06-14 00:10:00,"MET.K1"
1104516.72599814,-2084505.74540647,2013-06-14 04:08:00,"MET.K1"
1104886.73640042,-2090391.50619081,2013-06-14 12:05:00,"MET.K1"
1105432.48075482,-2090314.66352882,2013-06-14 16:04:00,"MET.K1"
1107014.95339224,-2091216.77258602,2013-06-14 20:03:00,"MET.K1"
1110298.08860044,-2095674.555663,2013-06-15 00:03:00,"MET.K1"
1109940.17266171,-2098099.56161032,2013-06-15 04:03:00,"MET.K1"
1109176.95263908,-2099099.95099862,2013-06-15 08:03:00,"MET.K1"
1108892.96453869,-2099399.82406809,2013-06-15 12:03:00,"MET.K1"
1108507.62618468,-2099336.05017952,2013-06-15 16:02:00,"MET.K1"
1107833.67909942,-2100070.24629247,2013-06-15 20:03:00,"MET.K1"
1107790.13192441,-2100269.00360427,2013-06-16 00:03:00,"MET.K1"
1107829.69680428,-2100321.4551701,2013-06-16 04:03:00,"MET.K1"
1107915.47387191,-2100546.68541983,2013-06-16 08:03:00,"MET.K1"
1106497.47612296,-2101898.25292446,2013-06-16 12:03:00,"MET.K1"
1104559.72627299,-2102936.00266135,2013-06-16 16:03:00,"MET.K1"
1100949.85029266,-2106143.63520929,2013-06-16 20:03:00,"MET.K1"
1100090.72089706,-2106863.04321275,2013-06-17 00:03:00,"MET.K1"
1099760.05083955,-2106881.24303857,2013-06-17 04:03:00,"MET.K1"
