"X","Y","DateTime","ID","wet_recurse$revisits","revisits"
1102041.87759984,-2116559.90519506,2012-11-08 23:16:00,"MET.K1",34,34
1102050.91655281,-2116606.90619217,2012-11-09 23:16:00,"MET.K1",34,34
1102710.56765654,-2105097.69368668,2012-11-13 19:17:00,"MET.K1",21,21
1110586.57628149,-2094560.72508459,2012-11-19 19:32:00,"MET.K1",22,22
1107658.47106158,-2075704.04882367,2013-11-03 05:09:00,"MET.K1",42,42
1107325.12467272,-2076016.90116821,2013-11-03 06:09:00,"MET.K1",32,32
1107337.50650864,-2076027.30943569,2013-11-03 07:09:00,"MET.K1",33,33
1107401.24262401,-2075957.08204351,2013-11-03 08:09:00,"MET.K1",44,44
1107748.65943568,-2075602.42572934,2013-11-03 09:09:00,"MET.K1",44,44
1107739.31012072,-2075596.56344813,2013-11-03 10:10:00,"MET.K1",44,44
1107431.90603766,-2075827.95939919,2013-11-03 11:09:00,"MET.K1",43,43
1107381.85919012,-2075835.2406296,2013-11-03 12:10:00,"MET.K1",45,45
1107397.91931242,-2075830.19862546,2013-11-03 13:09:00,"MET.K1",44,44
1107392.26713892,-2075841.13690887,2013-11-03 14:09:00,"MET.K1",45,45
1107674.13686037,-2075711.22710131,2013-11-03 15:09:00,"MET.K1",42,42
1107693.50576715,-2075176.94385757,2013-11-03 17:09:00,"MET.K1",41,41
1102261.04702891,-2105743.62663191,2013-11-04 09:09:00,"MET.K1",45,45
1102232.68387773,-2105835.00297137,2013-11-04 10:09:00,"MET.K1",46,46
1102231.55473384,-2105837.19032507,2013-11-04 11:09:00,"MET.K1",46,46
1102049.67403375,-2105899.11333109,2013-11-04 12:10:00,"MET.K1",44,44
1102173.13444149,-2105844.18790994,2013-11-04 13:09:00,"MET.K1",46,46
1102116.41300687,-2106157.0474788,2013-11-04 14:10:00,"MET.K1",41,41
1102116.70182694,-2106148.16067106,2013-11-04 15:10:00,"MET.K1",42,42
1102108.60750962,-2106136.77736783,2013-11-04 16:09:00,"MET.K1",42,42
1101590.49103085,-2108894.42838764,2013-11-04 18:09:00,"MET.K1",27,27
1102001.30204725,-2116571.92416191,2013-11-05 00:09:00,"MET.K1",34,34
1101986.98932608,-2116589.24924697,2013-11-05 01:09:00,"MET.K1",34,34
1088712.8807984,-2120804.4243676,2013-11-05 19:33:00,"MET.K1",35,35
1088793.24461256,-2120770.30808983,2013-11-05 20:32:00,"MET.K1",35,35
1088524.92497785,-2120501.55643466,2013-11-05 21:32:00,"MET.K1",32,32
1088887.06186035,-2120712.16317456,2013-11-05 22:32:00,"MET.K1",36,36
1088806.2351669,-2120760.71782897,2013-11-05 23:33:00,"MET.K1",35,35
1088798.95076475,-2120757.14914454,2013-11-06 00:33:00,"MET.K1",35,35
1088736.7389965,-2120818.52994839,2013-11-06 01:32:00,"MET.K1",35,35
1088733.33589067,-2120891.80010304,2013-11-06 02:32:00,"MET.K1",36,36
1088756.46695917,-2120763.57139156,2013-11-06 03:32:00,"MET.K1",34,34
1088808.37133002,-2120793.02861247,2013-11-06 04:32:00,"MET.K1",35,35
1088797.45473904,-2120704.84636391,2013-11-06 05:33:00,"MET.K1",35,35
1088468.48175617,-2120349.65722036,2013-11-06 06:32:00,"MET.K1",37,37
1088819.4411755,-2120843.41439907,2013-11-07 22:27:00,"MET.K1",36,36
1088763.75136153,-2120767.14005776,2013-11-07 23:26:00,"MET.K1",34,34
1088773.08744437,-2120739.64387293,2013-11-08 00:27:00,"MET.K1",34,34
1088802.55628454,-2120710.56875361,2013-11-08 01:26:00,"MET.K1",35,35
1088791.14397326,-2120736.88664968,2013-11-08 02:27:00,"MET.K1",35,35
1088809.46058724,-2120693.00094812,2013-11-08 03:27:00,"MET.K1",35,35
1088796.20994213,-2120743.71970659,2013-11-08 04:26:00,"MET.K1",35,35
1088798.06160043,-2120784.91581906,2013-11-08 05:27:00,"MET.K1",35,35
1088804.33682364,-2120753.98620248,2013-11-08 06:26:00,"MET.K1",35,35
1088796.94571985,-2120753.74952048,2013-11-08 07:27:00,"MET.K1",35,35
1101850.35385751,-2108157.82455905,2013-11-09 07:27:00,"MET.K1",28,28
1118834.50834127,-2099181.92821879,2013-11-10 06:08:00,"MET.K1",38,38
1110619.41047231,-2094689.69943151,2013-11-10 14:03:00,"MET.K1",21,21
1110666.89908482,-2094177.43600106,2013-11-10 15:01:00,"MET.K1",23,23
1110652.16357377,-2094174.72899008,2013-11-10 16:02:00,"MET.K1",23,23
1110504.16398626,-2094296.66788471,2013-11-10 17:02:00,"MET.K1",23,23
1088852.50445355,-2120801.11280907,2013-11-11 21:01:00,"MET.K1",35,35
1088779.94507549,-2120756.54054445,2013-11-11 22:01:00,"MET.K1",34,34
1088768.67506679,-2120778.41577311,2013-11-11 23:01:00,"MET.K1",34,34
1088754.42634522,-2120761.28244034,2013-11-12 00:01:00,"MET.K1",34,34
1088773.84772154,-2120781.91682503,2013-11-12 01:01:00,"MET.K1",35,35
1088790.68162012,-2120751.32531886,2013-11-12 02:01:00,"MET.K1",35,35
1088817.77862086,-2120763.31110074,2013-11-12 03:02:00,"MET.K1",35,35
1088835.19490915,-2120780.54594058,2013-11-12 10:30:00,"MET.K1",35,35
1088833.20105603,-2120743.79247234,2013-11-12 10:32:00,"MET.K1",35,35
1088829.7711953,-2120685.86870202,2013-11-12 10:34:00,"MET.K1",36,36
1088833.02321491,-2120749.34580963,2013-11-12 10:37:00,"MET.K1",35,35
1088807.14653045,-2120666.24350529,2013-11-13 05:24:00,"MET.K1",36,36
1088797.19468258,-2120745.97485183,2013-11-13 06:23:00,"MET.K1",35,35
1088843.03520638,-2120700.74694625,2013-11-13 07:22:00,"MET.K1",36,36
1088803.71885632,-2120707.27056374,2013-11-13 08:23:00,"MET.K1",35,35
1088822.60675871,-2120744.56500836,2013-11-13 09:24:00,"MET.K1",35,35
1088560.7722921,-2120108.01440473,2013-11-13 11:25:00,"MET.K1",21,21
1088806.41300095,-2120755.16449354,2013-11-13 22:54:00,"MET.K1",35,35
1088796.16098406,-2120679.23340372,2013-11-13 23:54:00,"MET.K1",35,35
1088795.88984794,-2120753.71570901,2013-11-16 21:46:00,"MET.K1",35,35
1088801.76271376,-2120768.35725007,2013-11-16 22:47:00,"MET.K1",35,35
1088749.55750148,-2120583.23776014,2013-11-16 23:46:00,"MET.K1",33,33
1088811.55009255,-2120759.77622329,2013-11-17 18:45:00,"MET.K1",35,35
1088404.22438185,-2120541.05412356,2013-11-19 00:27:00,"MET.K1",33,33
1088812.78380024,-2120754.25669988,2013-11-19 01:27:00,"MET.K1",35,35
1088927.21323107,-2121042.54441993,2013-11-19 02:27:00,"MET.K1",40,40
1088812.07245399,-2120776.47004338,2013-11-19 03:27:00,"MET.K1",35,35
1088807.82454033,-2120744.09163465,2013-11-19 04:28:00,"MET.K1",35,35
1088818.31213284,-2120746.651092,2013-11-20 20:29:00,"MET.K1",35,35
1088801.3114732,-2120749.44209893,2013-11-20 21:29:00,"MET.K1",35,35
1088798.95076475,-2120757.14914454,2013-11-20 22:29:00,"MET.K1",35,35
1102044.00184326,-2116656.72211264,2013-11-22 01:29:00,"MET.K1",34,34
1102040.6151518,-2116663.28371105,2013-11-22 02:29:00,"MET.K1",34,34
1102051.28715736,-2116660.29625096,2013-11-23 19:38:00,"MET.K1",34,34
1102053.3997834,-2116660.36527258,2013-11-26 20:38:00,"MET.K1",34,34
1102078.71122016,-2116630.05508864,2013-11-26 21:38:00,"MET.K1",34,34
1102056.38725733,-2116666.02308072,2013-11-27 22:12:00,"MET.K1",34,34
1102170.54172049,-2116667.52892646,2013-11-27 23:10:00,"MET.K1",33,33
1102033.62017042,-2116650.82273943,2013-11-28 05:10:00,"MET.K1",34,34
1102051.21457195,-2116662.51796092,2013-11-30 20:16:00,"MET.K1",34,34
