"X","Y","DateTime","ID"
1093428.53826642,-2110840.12123598,2012-11-01 05:36:00,"MET.K1"
1091243.91418316,-2109870.62906277,2012-11-01 09:36:00,"MET.K1"
1087208.33023044,-2107800.89670578,2012-11-01 13:36:00,"MET.K1"
1087036.9603342,-2110767.18234695,2012-11-01 17:36:00,"MET.K1"
1089678.05182735,-2119117.59061935,2012-11-02 01:32:00,"MET.K1"
1091225.43034079,-2115961.79156591,2012-11-02 05:33:00,"MET.K1"
1092801.94274968,-2113623.02123178,2012-11-02 17:32:00,"MET.K1"
1093226.73081074,-2113961.33861282,2012-11-02 21:32:00,"MET.K1"
1093291.93846259,-2114432.64700611,2012-11-03 01:32:00,"MET.K1"
1093267.99558813,-2114355.15751536,2012-11-03 05:32:00,"MET.K1"
1092960.46316191,-2114119.56037876,2012-11-03 09:32:00,"MET.K1"
1096301.6409404,-2115111.23164026,2012-11-03 19:02:00,"MET.K1"
1100490.75655513,-2115711.98560691,2012-11-03 23:03:00,"MET.K1"
1097710.09556753,-2114623.08851493,2012-11-04 03:02:00,"MET.K1"
1096619.52472096,-2113684.8902925,2012-11-04 07:02:00,"MET.K1"
1094067.82980414,-2111975.88169381,2012-11-04 19:03:00,"MET.K1"
1093769.29804908,-2111755.02491162,2012-11-04 23:02:00,"MET.K1"
1093031.77719913,-2111833.62486829,2012-11-05 03:02:00,"MET.K1"
1092782.59488546,-2111920.13486163,2012-11-05 07:02:00,"MET.K1"
1093011.69459927,-2112294.40521808,2012-11-05 11:02:00,"MET.K1"
1093199.61714944,-2112337.1324595,2012-11-05 15:02:00,"MET.K1"
1094383.02711485,-2113387.00820382,2012-11-05 19:02:00,"MET.K1"
1096699.82188652,-2111952.86607955,2012-11-06 03:18:00,"MET.K1"
1093060.28962775,-2107712.85751466,2012-11-06 07:16:00,"MET.K1"
1088978.66352056,-2107907.17853095,2012-11-06 15:19:00,"MET.K1"
1089557.70925478,-2106995.04015293,2012-11-06 19:17:00,"MET.K1"
