"","unique","revisits2013","revisits2014","revisits2015","X","Y"
"1","398",0,0,0,1134465.93985402,-2043376.40108579
"2","402",0,0,0,1115752.40846384,-2043120.53133774
"3","403",0,0,0,1116192.4675134,-2043220.72568447
"4","405",0,1,0,1134446.4667323,-2044399.17217437
"5","406",0,3,0,1126566.23486757,-2043927.33267067
"6","408",0,0,0,1114319.8886602,-2043790.80253735
"7","409",0,0,0,1114994.94535266,-2043816.81597886
"8","411",0,6,3,1128164.6340606,-2044411.63081562
"9","412",0,0,0,1121542.6767919,-2044064.95029006
"10","413",0,3,1,1129673.98747011,-2044433.66737763
"11","415",0,0,0,1114281.81265306,-2044164.56352892
"12","416",0,23,7,1127436.42742333,-2045454.97284688
"13","417",0,1,0,1121755.02043129,-2044540.07974158
"14","418",0,0,0,1112711.6387642,-2044299.69847052
"15","419",0,3,0,1126735.9911849,-2044778.48718289
"16","420",0,3,0,1117986.93491415,-2044990.12478813
"17","421",0,0,0,1116346.134013,-2044668.46608549
"18","422",0,1,0,1121108.46932139,-2044735.39026892
"19","423",0,1,0,1122292.03326463,-2044994.66083221
"20","424",0,0,0,1113203.39101333,-2044711.18542365
"21","425",0,1,0,1115837.72044481,-2044879.41384802
"22","426",0,5,1,1134241.84054469,-2045948.13206969
"23","427",0,1,0,1116075.9854811,-2045004.22847051
"24","429",0,1,1,1133508.50380987,-2045586.93713169
"25","430",0,6,1,1133201.572927,-2045655.97349901
"26","431",0,1,0,1116420.58538606,-2045229.41020258
"27","432",0,127,32,1125309.57622383,-2047074.9986346
"28","434",0,0,0,1113713.14997575,-2045521.75903603
"29","435",0,0,0,1118989.69439975,-2045429.44580562
"30","436",0,2,2,1128644.11645875,-2046062.68516262
"31","437",0,24,4,1117266.57859617,-2045941.84577472
"32","442",0,3,0,1122387.2369277,-2047200.45674471
"33","445",0,14,0,1116571.56999681,-2047625.36511429
"34","447",0,1,0,1131016.66248473,-2047903.9275094
"35","449",0,0,0,1120475.01721713,-2047995.20050338
"36","460",0,1,2,1128618.4233811,-2048974.5633818
"37","463",0,5,1,1132131.32182221,-2049513.08970291
"38","466",0,6,5,1121691.09867082,-2049074.71642941
"39","469",0,0,1,1127542.46049655,-2049491.78424071
"40","470",0,1,0,1132784.49768896,-2049781.14471113
"41","471",0,0,0,1127095.99996611,-2049646.24785168
"42","472",0,0,0,1128913.40225195,-2050060.95508048
"43","473",0,0,0,1130826.04791898,-2050134.10527902
"44","474",0,0,0,1130107.55522444,-2050114.9200959
"45","475",0,0,0,1126436.50933508,-2050036.61193498
"46","476",0,5,0,1131707.32575641,-2050349.20461026
"47","477",0,1,0,1133448.25922318,-2050508.90182254
"48","482",0,1,0,1129006.51096243,-2050817.69457474
"49","499",0,1,0,1129274.91164773,-2052587.82128359
"50","510",0,0,0,1130622.11900734,-2053086.38674392
"51","514",0,0,0,1126669.03669396,-2053079.28729663
"52","543",0,0,0,1120831.80545066,-2054615.29674841
"53","545",0,1,0,1122781.14191025,-2055070.63881386
"54","547",0,0,0,1123357.13529525,-2055178.59652873
"55","558",0,1,1,1120321.95685574,-2055593.94024462
"56","561",0,0,0,1121940.58189477,-2055853.51238937
"57","562",0,0,0,1106454.68412324,-2055479.19046783
"58","564",0,0,0,1124804.75612465,-2056507.67468951
"59","565",0,0,0,1124266.9937844,-2056526.66605043
"60","571",0,0,0,1126103.16923812,-2057158.35179476
"61","585",0,0,0,1101943.17895427,-2057961.24824811
"62","586",0,2,2,1127594.04640502,-2059034.07487932
"63","587",0,0,0,1102387.14712085,-2057975.29605894
"64","595",0,0,1,1113234.01516787,-2058854.55378976
"65","598",0,4,0,1124764.14893214,-2059568.56131618
"66","599",0,0,1,1120772.57520995,-2059816.61967077
"67","602",0,2,1,1116387.05952222,-2059575.94735482
"68","604",0,2,4,1125997.81446098,-2060341.13127605
"69","606",0,0,0,1123966.11706919,-2059801.00541407
"70","611",0,1,0,1117913.10763845,-2059927.45416628
"71","612",0,0,0,1122949.65931935,-2060205.31566852
"72","614",0,0,0,1120648.32966193,-2060336.58171348
"73","617",0,1,0,1114346.75296128,-2060300.59977054
"74","619",0,0,0,1128254.74622065,-2060963.60684583
"75","620",0,2,1,1116353.95765491,-2060619.95053432
"76","623",0,0,1,1125356.0502987,-2060961.99868334
"77","624",0,0,0,1108362.02435501,-2060471.39481487
"78","625",0,0,0,1126357.15717998,-2061129.05910994
"79","627",0,0,0,1119625.21209878,-2061057.14824666
"80","630",0,0,0,1127075.84126306,-2061323.2953638
"81","634",0,2,1,1097830.83052991,-2060652.53103413
"82","635",0,0,1,1116904.8621616,-2061343.80920694
"83","639",0,0,1,1117823.47229352,-2061587.13774866
"84","641",0,0,1,1114535.74001526,-2061455.90859937
"85","646",0,2,3,1122768.36005433,-2062120.55005132
"86","655",0,1,1,1114496.79499143,-2062396.83641547
"87","658",0,0,0,1096368.09602068,-2061754.75699618
"88","659",0,0,0,1095003.47724657,-2061723.54526692
"89","660",0,0,0,1115797.80881572,-2062378.93433999
"90","662",0,1,1,1106538.58128345,-2062094.31281075
"91","663",0,1,0,1112963.21092493,-2062381.31039468
"92","665",0,1,0,1108242.40443925,-2062336.33538666
"93","673",0,0,1,1094631.07214668,-2062171.8880583
"94","675",0,3,2,1107701.88352457,-2062762.99151359
"95","676",0,1,0,1118042.95115338,-2063095.53995126
"96","682",0,0,0,1093217.81245593,-2062357.95913134
"97","683",0,0,0,1103740.7524564,-2062808.4714109
"98","686",0,1,0,1124836.30120488,-2063553.0511672
"99","687",0,0,1,1125394.91572246,-2063786.71434039
"100","688",0,0,0,1113712.87631608,-2063232.55689598
"101","689",0,0,0,1101252.54225934,-2062986.27046878
"102","690",0,0,0,1105020.57359211,-2063024.94990456
"103","691",0,0,1,1111103.79863657,-2063265.99473972
"104","692",0,0,0,1112089.46152535,-2063481.02003155
"105","693",0,1,0,1114829.88919142,-2063488.40034353
"106","694",0,0,0,1127868.37338324,-2064032.92577329
"107","695",0,0,0,1125808.06260543,-2063970.08297783
"108","698",0,0,0,1128842.70069054,-2064161.11790485
"109","699",0,3,2,1105576.32079888,-2063514.58686466
"110","700",0,1,0,1121466.70095744,-2064102.74635199
"111","705",0,2,0,1113763.13385248,-2064045.62760521
"112","707",0,0,0,1104155.42273906,-2063637.50013142
"113","708",0,0,0,1098354.08215901,-2063474.46514823
"114","710",0,0,0,1093485.78544523,-2063399.14309239
"115","711",0,1,0,1112989.89325363,-2064086.90905055
"116","712",0,0,0,1118559.20484352,-2064299.84366398
"117","713",0,0,1,1103015.56721481,-2063998.12222987
"118","714",0,0,0,1094870.36898645,-2063928.38912177
"119","715",0,1,0,1104204.79107232,-2064094.88518646
"120","716",0,0,1,1100764.37016991,-2064554.55795319
"121","717",0,0,0,1108037.63361614,-2064458.17237976
"122","718",0,10,7,1104015.21824399,-2064446.53743238
"123","719",0,0,0,1106543.60088089,-2064550.99675475
"124","721",0,0,0,1096890.85194738,-2064329.55118914
"125","722",0,0,0,1102762.20933919,-2064454.62598833
"126","723",0,0,0,1118098.92048199,-2064939.03382687
"127","726",0,1,0,1120688.62935356,-2065127.11866619
"128","727",0,0,0,1097761.17943686,-2064631.6919262
"129","728",0,1,1,1121428.01969428,-2065271.77069788
"130","729",0,13,6,1116955.52090912,-2065329.43000601
"131","730",0,0,1,1095420.237707,-2064775.89601548
"132","735",0,1,0,1104975.69281863,-2064912.21711232
"133","736",0,0,1,1104390.83666724,-2065238.04044565
"134","737",0,0,0,1108434.92999831,-2065190.8555233
"135","741",0,2,0,1111083.30224896,-2065385.41980754
"136","743",0,0,0,1093584.02856901,-2064783.37573192
"137","745",0,0,0,1092612.07743304,-2064815.74459583
"138","746",0,2,0,1111470.81110824,-2065613.48481807
"139","747",1,2,3,1119894.26756908,-2065936.83999473
"140","748",0,0,0,1126482.2800718,-2065973.80738178
"141","749",0,0,0,1108813.81324319,-2065448.43669317
"142","753",0,0,0,1099216.11309533,-2065274.36078416
"143","757",0,51,28,1120898.43062502,-2067048.47497157
"144","761",0,0,0,1096197.29280834,-2065694.27650395
"145","763",0,0,0,1133129.49384206,-2066967.37689397
"146","764",0,0,0,1131127.60643676,-2067226.40362272
"147","765",0,2,11,1123738.90887656,-2066985.01242609
"148","766",0,0,0,1128513.18361116,-2067077.54498071
"149","767",0,0,0,1104348.39085019,-2066231.89115773
"150","770",0,0,2,1125586.21548486,-2067113.42461296
"151","774",0,1,0,1105589.14478417,-2066621.83356709
